Time,Latitude,Longitude,Altitude(m),Speed(km/h),Course,Distance(m),Visible Satellites,Satellites(CN>22),HDOP
"=""2023-07-18 08:49:50Z""",28.847671,-17.84315,19.4,8.75,91.92,222.61,6,6,1.6
"=""2023-07-18 08:53:01Z""",28.847391,-17.84552,-6.9,15.19,93.19,232.92,6,6,1.6
"=""2023-07-18 08:56:13Z""",28.846631,-17.843035,29,2.34,39.93,256.36,8,8,1.6
"=""2023-07-18 08:59:27Z""",28.846348,-17.840583,14.1,16.7,91.46,240.88,5,5,1.6
"=""2023-07-18 09:02:40Z""",28.846761,-17.832175,-50,18.32,80.95,820.2,5,5,1.6
"=""2023-07-18 09:05:53Z""",28.847031,-17.823656,-50,15.44,93.09,830.27,6,5,1.7
"=""2023-07-18 09:09:03Z""",28.847073,-17.815148,18.8,17.96,93.12,828.67,4,4,1.7
"=""2023-07-18 09:12:18Z""",28.84934,-17.808878,-50,0.97,276.24,660.65,7,7,1.7
"=""2023-07-18 09:15:33Z""",28.850158,-17.807653,21.5,11.02,148.55,150.03,7,7,1.7
"=""2023-07-18 09:18:47Z""",28.848125,-17.799185,19.5,17.39,124.18,855.16,9,7,1.7
"=""2023-07-18 09:22:02Z""",28.846335,-17.790083,18.4,15.34,94.6,908.57,8,6,2.2
"=""2023-07-18 09:25:18Z""",28.843075,-17.781691,19.6,21.42,109.13,894.15,7,5,1.7
"=""2023-07-18 09:28:45Z""",28.837281,-17.774966,11,14.18,159.74,918.78,11,8,1.7
"=""2023-07-18 09:32:10Z""",28.82978,-17.770411,8,13.18,159.97,944.75,9,7,2.3
"=""2023-07-18 09:35:33Z""",28.821976,-17.766278,10.1,17.57,154.6,956.62,8,8,1.4
"=""2023-07-18 09:39:02Z""",28.814316,-17.762226,7.1,13.82,153.34,938.79,9,9,1.5
"=""2023-07-18 09:42:07Z""",28.807506,-17.75934,25.8,15.48,151.83,807.76,7,7,1.1
"=""2023-07-18 09:45:12Z""",28.801185,-17.75548,9.9,13.93,143.76,797.17,7,7,1.1
"=""2023-07-18 09:48:17Z""",28.79567,-17.751136,5.9,13.93,161.36,745.14,8,7,1.2
"=""2023-07-18 09:51:23Z""",28.791218,-17.745748,21.8,19.66,132.09,721.62,7,7,1.2
"=""2023-07-18 09:54:31Z""",28.786511,-17.742615,21.4,7.88,132.27,605.94,7,6,1.2
"=""2023-07-18 09:57:47Z""",28.783441,-17.739296,17.3,10.01,154.63,470.27,10,9,1.2
"=""2023-07-18 10:00:58Z""",28.778395,-17.73586,-7.3,14,160.57,653.42,8,8,1.2
"=""2023-07-18 10:04:06Z""",28.772831,-17.732665,26.4,14.18,139.1,692.63,6,6,1.2
"=""2023-07-18 10:07:15Z""",28.767831,-17.728863,12.3,10.48,149.86,668.16,7,7,1.2
"=""2023-07-18 10:10:22Z""",28.762756,-17.726125,12.7,15.16,170.73,624.24,7,7,1.2
"=""2023-07-18 10:13:31Z""",28.757461,-17.722658,20.9,15.77,140.86,678.88,8,8,1.2
"=""2023-07-18 10:16:40Z""",28.751691,-17.72111,17.8,9.86,170.44,659.1,6,5,1.2
"=""2023-07-18 10:19:49Z""",28.745301,-17.721341,4.7,4.79,198.89,710.89,7,7,1.2
"=""2023-07-18 10:23:09Z""",28.738965,-17.722115,4.7,14.94,182,708.56,8,7,1.2
"=""2023-07-18 10:26:15Z""",28.732656,-17.722731,17.1,12.24,182.43,704.1,7,6,1.2
"=""2023-07-18 10:29:21Z""",28.72673,-17.725351,4.2,13.14,187.59,706.73,6,6,1.2
"=""2023-07-18 10:32:28Z""",28.723881,-17.727391,4.1,14.83,212.84,374.07,6,4,1.5
"=""2023-07-18 10:35:42Z""",28.717921,-17.731853,6.9,15.23,204.74,792.79,7,4,2.5
"=""2023-07-18 10:39:14Z""",28.710755,-17.736926,15.4,16.27,204,937.91,6,4,2.5
"=""2023-07-18 10:42:59Z""",28.703405,-17.742163,5.4,16.38,217.54,963.75,9,5,1.2
"=""2023-07-18 10:46:06Z""",28.697398,-17.746158,4.2,13.18,212.27,773.29,7,5,1.2
"=""2023-07-18 10:49:15Z""",28.691081,-17.750196,7.5,10.22,207.56,805.31,7,4,1.2
"=""2023-07-18 10:52:30Z""",28.684418,-17.754135,13.1,12.67,200.37,834.6,7,5,1.2
"=""2023-07-18 10:55:39Z""",28.678153,-17.75817,15.9,16.78,209.24,800.15,7,5,1.2
"=""2023-07-18 10:58:54Z""",28.671713,-17.762981,15.9,16.42,214.46,856.2,6,3,1.3
"=""2023-07-18 11:02:35Z""",28.67232,-17.768925,17.3,4.75,301.51,583.81,9,6,1.6
